plot_ID,date_work,weed_remain_gndvi(%),weed_remain_gndvi_SD,weed_after_dm(g/m2),weed_after_dm_SD,weed_before_gndvi(%),weed_before_gndvi_SD,weed_before_dm(g/m2),weed_before_dm_SD,soy_cover_mean(%),soy_cover_SD,rain_1day(mm),rain_3day(mm),rain_7day(mm),sun_time_1day(h),sun_time_3day(h),sun_time_7day(h),sun_enagy_1day(MJ/m2),sun_enagy_3day(MJ/m2),sun_enagy_7day(MJ/m2),temp_avg(℃）,after_sowing _temp(℃）,Until_culti_temp(℃）,hum_avg（％）,air_speed_avg(m/s),soil_texture,ClayContent,Drainage,green_manure,work speed(m/s),work rate(h/ha),culti_type,mold_boad,row_space(m)
T1,6月28日,8.79,2.530461091,0.47,0.77,16.66,4.37,4.80,5.57,5.86,1.450,0,7.4,61.6,9.026,11.362102,23.2310137,24.4636,45.2557,99.59516,23.4388,398.6298,398.6298,82.4973,1.4775,gray lowland soil,heavy clay,ON,barley,1.437497562,0.644123476,tine,OFF,0.752155556
T2,6月28日,10.27,3.555451214,1.55,0.70,23.89,4.04,12.24,5.26,9.74,1.676,0,7.4,61.6,9.026,11.362102,23.2310137,24.4636,45.2557,99.59516,23.4388,398.6298,398.6298,82.4973,1.4775,gray lowland soil,heavy clay,ON,hairy vetch,1.390609899,0.665841604,tine,OFF,0.750977778
T3,6月28日,6.98,2.090143536,0.08,0.14,13.22,5.61,10.73,7.88,7.03,1.897,0,7.4,61.6,9.026,11.362102,23.2310137,24.4636,45.2557,99.59516,23.4388,398.6298,398.6298,82.4973,1.4775,gray lowland soil,heavy clay,ON,mix,1.15463785,0.80191891,tine,OFF,0.760533333
T3R,6月28日,8.66,1.878891517,,,9.75,2.92,,,8.12,1.866,0,7.4,61.6,9.026,11.362102,23.2310137,24.4636,45.2557,99.59516,23.4388,398.6298,398.6298,82.4973,1.4775,gray lowland soil,heavy clay,ON,mix,0.510416572,2.418745726,Rotaly,OFF,0.7564
T4,6月28日,17.80,4.693857689,26.13,12.15,40.63,7.77,55.32,12.92297179,11.65,3.239,0,7.4,61.6,9.026,11.362102,23.2310137,24.4636,45.2557,99.59516,23.4388,398.6298,398.6298,82.4973,1.4775,gray lowland soil,heavy clay,ON,no,0.514205238,2.400924398,Rotaly,OFF,0.784822222
T5,6月28日,14.76,4.278204452,15.64,2.50,44.65,5.27,38.47,14.72,7.62,2.330,0,7.4,61.6,9.026,11.362102,23.2310137,24.4636,45.2557,99.59516,23.4388,398.6298,398.6298,82.4973,1.4775,gray lowland soil,heavy clay,ON,no,0.501714379,2.460698664,Rotaly,OFF,0.770933333
T5H,6月28日,17.02,1.76596527,,,50.55,9.56,,,13.41,1.423,0,7.4,61.6,9.026,11.362102,23.2310137,24.4636,45.2557,99.59516,23.4388,398.6298,398.6298,82.4973,1.4775,gray lowland soil,heavy clay,ON,no,0.501714379,2.460698664,Rotaly,OFF,0.7844
T1,7月5日,6.81,1.36,0.24,0.42,9.27,1.67,6.83,5.28,13.49,3.604,1.2,3.2,5.2,4.28879,17.693598,42.957171,16.7267,55.4266,135.3207,26.6904,583.8055,185.1757,81.1381,1.83852,gray lowland soil,heavy clay,ON,barley,1.437497562,0.644123476,tine,OFF,0.752155556
T2,7月5日,6.98,0.93,6.96,5.34,11.84,1.12,10.21,4.19,25.14,4.752,1.2,3.2,5.2,4.28879,17.693598,42.957171,16.7267,55.4266,135.3207,26.6904,583.8055,185.1757,81.1381,1.83852,gray lowland soil,heavy clay,ON,hairy vetch,1.390609899,0.665841604,tine,OFF,0.750977778
T3,7月5日,6.57,0.86,2.21,1.31,8.15,2.54,13.71,15.14,18.57,5.370,1.2,3.2,5.2,4.28879,17.693598,42.957171,16.7267,55.4266,135.3207,26.6904,583.8055,185.1757,81.1381,1.83852,gray lowland soil,heavy clay,ON,mix,1.15463785,0.80191891,tine,OFF,0.760533333
